Month,FY,Store,Metric,Amount,AmountUnit
2021-Apr,FY 2021-22,ORE,Aggregator commission,1.56,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,Aggregator commission,3.74,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,Aggregator commission,3.81,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,Aggregator commission,2.27,Rs. Lakhs
2021-Apr,FY 2021-22,SKC,Aggregator commission,1.39,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,Aggregator commission,1.96,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,Aggregator commission,0.02,Rs. Lakhs
2021-Apr,FY 2021-22,ITPL,Marketing & advertisement,0.16,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,Marketing & advertisement,0.3,Rs. Lakhs
2021-Apr,FY 2021-22,INB,Marketing & advertisement,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,Marketing & advertisement,0.43,Rs. Lakhs
2021-Apr,FY 2021-22,IND,Marketing & advertisement,0.63,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,Marketing & advertisement,0.33,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,Marketing & advertisement,0.48,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,Marketing & advertisement,0.24,Rs. Lakhs
2021-Apr,FY 2021-22,HSR,Marketing & advertisement,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,Marketing & advertisement,0.39,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,Marketing & advertisement,0.28,Rs. Lakhs
2021-Apr,FY 2021-22,EST,Marketing & advertisement,0.26,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,Marketing & advertisement,0.29,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,Marketing & advertisement,0.58,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,Marketing & advertisement,1.07,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,Marketing & advertisement,0.62,Rs. Lakhs
2021-Apr,FY 2021-22,SKC,Marketing & advertisement,0.37,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,Marketing & advertisement,0.26,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,Marketing & advertisement,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,Marketing & advertisement,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,EGL,Other opex expenses,0.02,Rs. Lakhs
2021-Apr,FY 2021-22,ITPL,Other opex expenses,0.37,Rs. Lakhs
2021-Apr,FY 2021-22,RMZ,Other opex expenses,0.05,Rs. Lakhs
2021-Apr,FY 2021-22,KOR,Other opex expenses,0.45,Rs. Lakhs
2021-Apr,FY 2021-22,INB,Other opex expenses,0.44,Rs. Lakhs
2021-Apr,FY 2021-22,DIV,Other opex expenses,0.63,Rs. Lakhs
2021-Apr,FY 2021-22,IND,Other opex expenses,0.66,Rs. Lakhs
2021-Apr,FY 2021-22,BAG,Other opex expenses,0.04,Rs. Lakhs
2021-Apr,FY 2021-22,MAN,Other opex expenses,0.53,Rs. Lakhs
2021-Apr,FY 2021-22,MTP,Other opex expenses,0.03,Rs. Lakhs
2021-Apr,FY 2021-22,ETV,Other opex expenses,0.02,Rs. Lakhs
2021-Apr,FY 2021-22,VIR,Other opex expenses,0.04,Rs. Lakhs
2021-Apr,FY 2021-22,ARK,Other opex expenses,0.62,Rs. Lakhs
2021-Apr,FY 2021-22,SIG,Other opex expenses,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,HSR,Other opex expenses,0.55,Rs. Lakhs
2021-Apr,FY 2021-22,CVR,Other opex expenses,0.02,Rs. Lakhs
2021-Apr,FY 2021-22,SJP,Other opex expenses,0.64,Rs. Lakhs
2021-Apr,FY 2021-22,ORW,Other opex expenses,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,EST,Other opex expenses,0.39,Rs. Lakhs
2021-Apr,FY 2021-22,ORE,Other opex expenses,0.32,Rs. Lakhs
2021-Apr,FY 2021-22,JPN,Other opex expenses,0.52,Rs. Lakhs
2021-Apr,FY 2021-22,PTP,Other opex expenses,0.03,Rs. Lakhs
2021-Apr,FY 2021-22,SEC,Other opex expenses,0.02,Rs. Lakhs
2021-Apr,FY 2021-22,SYH,Other opex expenses,0.41,Rs. Lakhs
2021-Apr,FY 2021-22,ETF,Other opex expenses,0.03,Rs. Lakhs
2021-Apr,FY 2021-22,GSC,Other opex expenses,0.04,Rs. Lakhs
2021-Apr,FY 2021-22,PRI,Other opex expenses,0.03,Rs. Lakhs
2021-Apr,FY 2021-22,ECN,Other opex expenses,0.02,Rs. Lakhs
2021-Apr,FY 2021-22,RGA,Other opex expenses,0.02,Rs. Lakhs
2021-Apr,FY 2021-22,CTS,Other opex expenses,0.01,Rs. Lakhs
2021-Apr,FY 2021-22,VBP,Other opex expenses,0.25,Rs. Lakhs
2021-Apr,FY 2021-22,SKC,Other opex expenses,0.25,Rs. Lakhs
2021-Apr,FY 2021-22,IHY,Other opex expenses,0.7,Rs. Lakhs
2021-Apr,FY 2021-22,DCH,Other opex expenses,0.02,Rs. Lakhs
2021-Apr,FY 2021-22,HAA,Other opex expenses,0.98,Rs. Lakhs
2021-Apr,FY 2021-22,SCH,Other opex expenses,0.33,Rs. Lakhs
2021-May,FY 2021-22,KOR,Gross Sales,8.6,Rs. Lakhs
2021-May,FY 2021-22,INB,Gross Sales,18.51,Rs. Lakhs
2021-May,FY 2021-22,DIV,Gross Sales,15.92,Rs. Lakhs
2021-May,FY 2021-22,IND,Gross Sales,18.19,Rs. Lakhs
2021-May,FY 2021-22,ARK,Gross Sales,16.2,Rs. Lakhs
2021-May,FY 2021-22,SIG,Gross Sales,6.4,Rs. Lakhs
2021-May,FY 2021-22,HSR,Gross Sales,18.18,Rs. Lakhs
2021-May,FY 2021-22,SJP,Gross Sales,22.43,Rs. Lakhs
2021-May,FY 2021-22,ORW,Gross Sales,9.09,Rs. Lakhs
2021-May,FY 2021-22,EST,Gross Sales,10.38,Rs. Lakhs
2021-May,FY 2021-22,ORE,Gross Sales,7.84,Rs. Lakhs
2021-May,FY 2021-22,JPN,Gross Sales,19.54,Rs. Lakhs
2021-May,FY 2021-22,SYH,Gross Sales,17.4,Rs. Lakhs
2021-May,FY 2021-22,VBP,Gross Sales,14.43,Rs. Lakhs
2021-May,FY 2021-22,SKC,Gross Sales,7.93,Rs. Lakhs
2021-May,FY 2021-22,IHY,Gross Sales,9.89,Rs. Lakhs
2021-May,FY 2021-22,HAA,Gross Sales,4.07,Rs. Lakhs
2021-May,FY 2021-22,SCH,Gross Sales,4.1,Rs. Lakhs
2021-May,FY 2021-22,KOR,GST,0.41,Rs. Lakhs
2021-May,FY 2021-22,INB,GST,0.88,Rs. Lakhs
2021-May,FY 2021-22,DIV,GST,0.76,Rs. Lakhs
2021-May,FY 2021-22,IND,GST,0.87,Rs. Lakhs
2021-May,FY 2021-22,ARK,GST,0.77,Rs. Lakhs
2021-May,FY 2021-22,SIG,GST,0.3,Rs. Lakhs
2021-May,FY 2021-22,HSR,GST,0.87,Rs. Lakhs
2021-May,FY 2021-22,SJP,GST,1.07,Rs. Lakhs
2021-May,FY 2021-22,ORW,GST,0.43,Rs. Lakhs
2021-May,FY 2021-22,EST,GST,0.49,Rs. Lakhs
2021-May,FY 2021-22,ORE,GST,0.37,Rs. Lakhs
2021-May,FY 2021-22,JPN,GST,0.93,Rs. Lakhs
2021-May,FY 2021-22,SYH,GST,0.83,Rs. Lakhs
2021-May,FY 2021-22,VBP,GST,0.69,Rs. Lakhs
2021-May,FY 2021-22,SKC,GST,0.38,Rs. Lakhs
