Metric,Store,Month-Year,FY,Amount (in lakhs)
Aggregator commission,EST,May 2021,FY22,2.23
Marketing & advertisement,EST,May 2021,FY22,0.51
Gross Sales,ORE,May 2021,FY22,7.84
GST,ORE,May 2021,FY22,0.37
Net Sales,ORE,May 2021,FY22,7.47
COGS (food +packaging),ORE,May 2021,FY22,2.73
store Labor Cost,ORE,May 2021,FY22,1.54
Utility Cost,ORE,May 2021,FY22,0.67
Rent,ORE,May 2021,FY22,0.66
CAM,ORE,May 2021,FY22,0.21
Aggregator commission,ORE,May 2021,FY22,1.74
Marketing & advertisement,ORE,May 2021,FY22,0.28
Gross Sales,AUR,May 2021,FY22,
GST,AUR,May 2021,FY22,0.0
Net Sales,AUR,May 2021,FY22,0.0
COGS (food +packaging),AUR,May 2021,FY22,0.0
store Labor Cost,AUR,May 2021,FY22,0.0
Utility Cost,AUR,May 2021,FY22,0.0
Rent,AUR,May 2021,FY22,
CAM,AUR,May 2021,FY22,
Aggregator commission,AUR,May 2021,FY22,
Marketing & advertisement,AUR,May 2021,FY22,
Gross Sales,JPN,May 2021,FY22,19.54
GST,JPN,May 2021,FY22,0.93
Net Sales,JPN,May 2021,FY22,18.61
COGS (food +packaging),JPN,May 2021,FY22,6.21
store Labor Cost,JPN,May 2021,FY22,1.9
Utility Cost,JPN,May 2021,FY22,1.14
Rent,JPN,May 2021,FY22,1.48
CAM,JPN,May 2021,FY22,0.0
Aggregator commission,JPN,May 2021,FY22,4.05
Marketing & advertisement,JPN,May 2021,FY22,0.79
Gross Sales,JPC,May 2021,FY22,
GST,JPC,May 2021,FY22,0.0
Net Sales,JPC,May 2021,FY22,0.0
COGS (food +packaging),JPC,May 2021,FY22,0.0
store Labor Cost,JPC,May 2021,FY22,0.0
Utility Cost,JPC,May 2021,FY22,0.0
Rent,JPC,May 2021,FY22,
CAM,JPC,May 2021,FY22,
Aggregator commission,JPC,May 2021,FY22,
Marketing & advertisement,JPC,May 2021,FY22,
Gross Sales,PTP,May 2021,FY22,
GST,PTP,May 2021,FY22,0.0
Net Sales,PTP,May 2021,FY22,0.0
COGS (food +packaging),PTP,May 2021,FY22,0.0
store Labor Cost,PTP,May 2021,FY22,0.0
Utility Cost,PTP,May 2021,FY22,0.07
Rent,PTP,May 2021,FY22,
CAM,PTP,May 2021,FY22,0.0
Aggregator commission,PTP,May 2021,FY22,
Marketing & advertisement,PTP,May 2021,FY22,
Gross Sales,SEC,May 2021,FY22,
GST,SEC,May 2021,FY22,0.0
Net Sales,SEC,May 2021,FY22,0.0
COGS (food +packaging),SEC,May 2021,FY22,0.0
store Labor Cost,SEC,May 2021,FY22,0.0
Utility Cost,SEC,May 2021,FY22,0.05
Rent,SEC,May 2021,FY22,0.27
CAM,SEC,May 2021,FY22,0.03
Aggregator commission,SEC,May 2021,FY22,
Marketing & advertisement,SEC,May 2021,FY22,
Gross Sales,SYH,May 2021,FY22,17.4
GST,SYH,May 2021,FY22,0.83
Net Sales,SYH,May 2021,FY22,16.57
COGS (food +packaging),SYH,May 2021,FY22,6.51
store Labor Cost,SYH,May 2021,FY22,1.6
Utility Cost,SYH,May 2021,FY22,0.73
Rent,SYH,May 2021,FY22,0.21
CAM,SYH,May 2021,FY22,0.0
Aggregator commission,SYH,May 2021,FY22,3.76
Marketing & advertisement,SYH,May 2021,FY22,0.88
Gross Sales,ETF,May 2021,FY22,
GST,ETF,May 2021,FY22,0.0
Net Sales,ETF,May 2021,FY22,0.0
COGS (food +packaging),ETF,May 2021,FY22,0.0
store Labor Cost,ETF,May 2021,FY22,0.0
Utility Cost,ETF,May 2021,FY22,0.08
Rent,ETF,May 2021,FY22,
CAM,ETF,May 2021,FY22,0.0
Aggregator commission,ETF,May 2021,FY22,
Marketing & advertisement,ETF,May 2021,FY22,
Gross Sales,GSC,May 2021,FY22,
GST,GSC,May 2021,FY22,0.0
Net Sales,GSC,May 2021,FY22,0.0
COGS (food +packaging),GSC,May 2021,FY22,0.0
store Labor Cost,GSC,May 2021,FY22,0.0
Utility Cost,GSC,May 2021,FY22,0.0
Rent,GSC,May 2021,FY22,
CAM,GSC,May 2021,FY22,
Aggregator commission,GSC,May 2021,FY22,
Marketing & advertisement,GSC,May 2021,FY22,
Gross Sales,PRI,May 2021,FY22,
GST,PRI,May 2021,FY22,0.0
Net Sales,PRI,May 2021,FY22,0.0
COGS (food +packaging),PRI,May 2021,FY22,0.0
store Labor Cost,PRI,May 2021,FY22,0.0
Utility Cost,PRI,May 2021,FY22,0.01
Rent,PRI,May 2021,FY22,
CAM,PRI,May 2021,FY22,0.19
Aggregator commission,PRI,May 2021,FY22,
Marketing & advertisement,PRI,May 2021,FY22,
Gross Sales,ECN,May 2021,FY22,
GST,ECN,May 2021,FY22,0.0
Net Sales,ECN,May 2021,FY22,0.0
COGS (food +packaging),ECN,May 2021,FY22,0.0
store Labor Cost,ECN,May 2021,FY22,0.0
Utility Cost,ECN,May 2021,FY22,0.14
Rent,ECN,May 2021,FY22,
CAM,ECN,May 2021,FY22,0.19
Aggregator commission,ECN,May 2021,FY22,0.0
Marketing & advertisement,ECN,May 2021,FY22,
Gross Sales,RGA,May 2021,FY22,
GST,RGA,May 2021,FY22,0.0
Net Sales,RGA,May 2021,FY22,0.0
COGS (food +packaging),RGA,May 2021,FY22,0.0
store Labor Cost,RGA,May 2021,FY22,0.0
Utility Cost,RGA,May 2021,FY22,0.1
Rent,RGA,May 2021,FY22,0.0
CAM,RGA,May 2021,FY22,0.24
Aggregator commission,RGA,May 2021,FY22,
Marketing & advertisement,RGA,May 2021,FY22,
Gross Sales,MIL,May 2021,FY22,
GST,MIL,May 2021,FY22,0.0
Net Sales,MIL,May 2021,FY22,0.0
COGS (food +packaging),MIL,May 2021,FY22,0.0
store Labor Cost,MIL,May 2021,FY22,0.0
Utility Cost,MIL,May 2021,FY22,0.0
Rent,MIL,May 2021,FY22,
CAM,MIL,May 2021,FY22,
Aggregator commission,MIL,May 2021,FY22,
Marketing & advertisement,MIL,May 2021,FY22,
Gross Sales,CTS,May 2021,FY22,0.0
GST,CTS,May 2021,FY22,0.0
Net Sales,CTS,May 2021,FY22,0.0
COGS (food +packaging),CTS,May 2021,FY22,0.0
store Labor Cost,CTS,May 2021,FY22,0.0
Utility Cost,CTS,May 2021,FY22,0.1
Rent,CTS,May 2021,FY22,
CAM,CTS,May 2021,FY22,
Aggregator commission,CTS,May 2021,FY22,
Marketing & advertisement,CTS,May 2021,FY22,
Gross Sales,VBP,May 2021,FY22,14.43
GST,VBP,May 2021,FY22,0.69
Net Sales,VBP,May 2021,FY22,13.74
COGS (food +packaging),VBP,May 2021,FY22,5.02
store Labor Cost,VBP,May 2021,FY22,1.94
Utility Cost,VBP,May 2021,FY22,0.82
Rent,VBP,May 2021,FY22,1.36
CAM,VBP,May 2021,FY22,0.41
Aggregator commission,VBP,May 2021,FY22,2.65
Marketing & advertisement,VBP,May 2021,FY22,0.59
Gross Sales,SKC,May 2021,FY22,7.93
GST,SKC,May 2021,FY22,0.38
Net Sales,SKC,May 2021,FY22,7.55
COGS (food +packaging),SKC,May 2021,FY22,3.35
store Labor Cost,SKC,May 2021,FY22,1.68
Utility Cost,SKC,May 2021,FY22,0.67
Rent,SKC,May 2021,FY22,0.22
CAM,SKC,May 2021,FY22,
Aggregator commission,SKC,May 2021,FY22,1.51
Marketing & advertisement,SKC,May 2021,FY22,0.47
Gross Sales,IHY,May 2021,FY22,9.89
GST,IHY,May 2021,FY22,0.47
Net Sales,IHY,May 2021,FY22,9.42
COGS (food +packaging),IHY,May 2021,FY22,3.19
store Labor Cost,IHY,May 2021,FY22,1.69
Utility Cost,IHY,May 2021,FY22,0.6
Rent,IHY,May 2021,FY22,1.67
CAM,IHY,May 2021,FY22,0.29
Aggregator commission,IHY,May 2021,FY22,1.97
Marketing & advertisement,IHY,May 2021,FY22,0.25
Gross Sales,DCH,May 2021,FY22,
GST,DCH,May 2021,FY22,0.0
Net Sales,DCH,May 2021,FY22,0.0
COGS (food +packaging),DCH,May 2021,FY22,0.0
store Labor Cost,DCH,May 2021,FY22,0.0
Utility Cost,DCH,May 2021,FY22,0.0
Rent,DCH,May 2021,FY22,
CAM,DCH,May 2021,FY22,
Aggregator commission,DCH,May 2021,FY22,
Marketing & advertisement,DCH,May 2021,FY22,
Gross Sales,HAA,May 2021,FY22,4.07
GST,HAA,May 2021,FY22,0.19
Net Sales,HAA,May 2021,FY22,3.87
COGS (food +packaging),HAA,May 2021,FY22,1.59
store Labor Cost,HAA,May 2021,FY22,1.45
Utility Cost,HAA,May 2021,FY22,0.97
Rent,HAA,May 2021,FY22,0.78
CAM,HAA,May 2021,FY22,0.53
Aggregator commission,HAA,May 2021,FY22,
Marketing & advertisement,HAA,May 2021,FY22,0.14
Gross Sales,SCH,May 2021,FY22,4.1
GST,SCH,May 2021,FY22,0.2
Net Sales,SCH,May 2021,FY22,3.91
COGS (food +packaging),SCH,May 2021,FY22,1.51
store Labor Cost,SCH,May 2021,FY22,1.2
Utility Cost,SCH,May 2021,FY22,0.62
Rent,SCH,May 2021,FY22,0.45
CAM,SCH,May 2021,FY22,0.47
Aggregator commission,SCH,May 2021,FY22,0.63
Marketing & advertisement,SCH,May 2021,FY22,0.59
Gross Sales,EGL,June 2021,FY22,
GST,EGL,June 2021,FY22,0.0
Net Sales,EGL,June 2021,FY22,0.0
COGS (food +packaging),EGL,June 2021,FY22,0.45
store Labor Cost,EGL,June 2021,FY22,0.0
Utility Cost,EGL,June 2021,FY22,0.0
Rent,EGL,June 2021,FY22,
CAM,EGL,June 2021,FY22,
Aggregator commission,EGL,June 2021,FY22,
Marketing & advertisement,EGL,June 2021,FY22,
Interest cost,EGL,June 2021,FY22,
Gross Sales,ITPL,June 2021,FY22,
GST,ITPL,June 2021,FY22,0.0
Net Sales,ITPL,June 2021,FY22,0.0
COGS (food +packaging),ITPL,June 2021,FY22,0.0
store Labor Cost,ITPL,June 2021,FY22,0.01
Utility Cost,ITPL,June 2021,FY22,0.05
Rent,ITPL,June 2021,FY22,0.08
CAM,ITPL,June 2021,FY22,0.0
Aggregator commission,ITPL,June 2021,FY22,
Marketing & advertisement,ITPL,June 2021,FY22,
Interest cost,ITPL,June 2021,FY22,
Gross Sales,RMZ,June 2021,FY22,
GST,RMZ,June 2021,FY22,0.0
Net Sales,RMZ,June 2021,FY22,0.0
COGS (food +packaging),RMZ,June 2021,FY22,0.29
store Labor Cost,RMZ,June 2021,FY22,0.0
Utility Cost,RMZ,June 2021,FY22,0.1
Rent,RMZ,June 2021,FY22,0.0
CAM,RMZ,June 2021,FY22,0.13
Aggregator commission,RMZ,June 2021,FY22,
Marketing & advertisement,RMZ,June 2021,FY22,
Interest cost,RMZ,June 2021,FY22,
Gross Sales,KOR,June 2021,FY22,9.5
GST,KOR,June 2021,FY22,0.45
Net Sales,KOR,June 2021,FY22,9.05
COGS (food +packaging),KOR,June 2021,FY22,2.97
store Labor Cost,KOR,June 2021,FY22,1.33
Utility Cost,KOR,June 2021,FY22,0.7
Rent,KOR,June 2021,FY22,0.71
CAM,KOR,June 2021,FY22,
Aggregator commission,KOR,June 2021,FY22,1.95
Marketing & advertisement,KOR,June 2021,FY22,0.6
Interest cost,KOR,June 2021,FY22,
Gross Sales,INB,June 2021,FY22,21.43
GST,INB,June 2021,FY22,1.02
Net Sales,INB,June 2021,FY22,20.41
COGS (food +packaging),INB,June 2021,FY22,7.22
store Labor Cost,INB,June 2021,FY22,2.0
Utility Cost,INB,June 2021,FY22,0.74
Rent,INB,June 2021,FY22,1.34
CAM,INB,June 2021,FY22,0.18
Aggregator commission,INB,June 2021,FY22,4.57
Marketing & advertisement,INB,June 2021,FY22,0.72
Interest cost,INB,June 2021,FY22,
Gross Sales,DIV,June 2021,FY22,18.3
GST,DIV,June 2021,FY22,0.87
Net Sales,DIV,June 2021,FY22,17.43
COGS (food +packaging),DIV,June 2021,FY22,5.95
store Labor Cost,DIV,June 2021,FY22,1.85
Utility Cost,DIV,June 2021,FY22,1.27
Rent,DIV,June 2021,FY22,0.51
CAM,DIV,June 2021,FY22,0.14
Aggregator commission,DIV,June 2021,FY22,3.78
Marketing & advertisement,DIV,June 2021,FY22,0.85
Interest cost,DIV,June 2021,FY22,
Gross Sales,IND,June 2021,FY22,22.33
GST,IND,June 2021,FY22,1.06
Net Sales,IND,June 2021,FY22,21.27
COGS (food +packaging),IND,June 2021,FY22,7.77
store Labor Cost,IND,June 2021,FY22,2.25
Utility Cost,IND,June 2021,FY22,1.05
Rent,IND,June 2021,FY22,1.2
CAM,IND,June 2021,FY22,0.0
Aggregator commission,IND,June 2021,FY22,4.53
Marketing & advertisement,IND,June 2021,FY22,0.69
Interest cost,IND,June 2021,FY22,
Gross Sales,BAG,June 2021,FY22,
GST,BAG,June 2021,FY22,0.0
Net Sales,BAG,June 2021,FY22,0.0
COGS (food +packaging),BAG,June 2021,FY22,0.0
store Labor Cost,BAG,June 2021,FY22,0.0
Utility Cost,BAG,June 2021,FY22,0.0
Rent,BAG,June 2021,FY22,0.0
CAM,BAG,June 2021,FY22,
Aggregator commission,BAG,June 2021,FY22,
Marketing & advertisement,BAG,June 2021,FY22,
Interest cost,BAG,June 2021,FY22,
Gross Sales,DLF,June 2021,FY22,
GST,DLF,June 2021,FY22,0.0
Net Sales,DLF,June 2021,FY22,0.0
COGS (food +packaging),DLF,June 2021,FY22,0.0
store Labor Cost,DLF,June 2021,FY22,0.0
Utility Cost,DLF,June 2021,FY22,0.0
Rent,DLF,June 2021,FY22,
CAM,DLF,June 2021,FY22,0.0
Aggregator commission,DLF,June 2021,FY22,
Marketing & advertisement,DLF,June 2021,FY22,
Interest cost,DLF,June 2021,FY22,
Gross Sales,MAN,June 2021,FY22,
GST,MAN,June 2021,FY22,0.0
Net Sales,MAN,June 2021,FY22,0.0
COGS (food +packaging),MAN,June 2021,FY22,0.0
store Labor Cost,MAN,June 2021,FY22,0.1
Utility Cost,MAN,June 2021,FY22,0.05
Rent,MAN,June 2021,FY22,0.0
CAM,MAN,June 2021,FY22,
Aggregator commission,MAN,June 2021,FY22,0.02
Marketing & advertisement,MAN,June 2021,FY22,
Interest cost,MAN,June 2021,FY22,
Gross Sales,MTP,June 2021,FY22,
GST,MTP,June 2021,FY22,0.0
Net Sales,MTP,June 2021,FY22,0.0
COGS (food +packaging),MTP,June 2021,FY22,0.0
store Labor Cost,MTP,June 2021,FY22,0.0
Utility Cost,MTP,June 2021,FY22,0.0
Rent,MTP,June 2021,FY22,
CAM,MTP,June 2021,FY22,0.0
Aggregator commission,MTP,June 2021,FY22,
Marketing & advertisement,MTP,June 2021,FY22,
Interest cost,MTP,June 2021,FY22,
Gross Sales,ETV,June 2021,FY22,
GST,ETV,June 2021,FY22,0.0
Net Sales,ETV,June 2021,FY22,0.0
COGS (food +packaging),ETV,June 2021,FY22,0.0
store Labor Cost,ETV,June 2021,FY22,0.0
Utility Cost,ETV,June 2021,FY22,0.04
Rent,ETV,June 2021,FY22,0.0
CAM,ETV,June 2021,FY22,0.0
Aggregator commission,ETV,June 2021,FY22,
Marketing & advertisement,ETV,June 2021,FY22,
Interest cost,ETV,June 2021,FY22,
Gross Sales,VIR,June 2021,FY22,
GST,VIR,June 2021,FY22,0.0
Net Sales,VIR,June 2021,FY22,0.0
COGS (food +packaging),VIR,June 2021,FY22,0.0
store Labor Cost,VIR,June 2021,FY22,0.0
Utility Cost,VIR,June 2021,FY22,0.0
Rent,VIR,June 2021,FY22,
CAM,VIR,June 2021,FY22,
Aggregator commission,VIR,June 2021,FY22,
Marketing & advertisement,VIR,June 2021,FY22,
Interest cost,VIR,June 2021,FY22,
Gross Sales,ARK,June 2021,FY22,19.0
GST,ARK,June 2021,FY22,0.9
Net Sales,ARK,June 2021,FY22,18.1
COGS (food +packaging),ARK,June 2021,FY22,6.33
store Labor Cost,ARK,June 2021,FY22,2.03
Utility Cost,ARK,June 2021,FY22,1.26
Rent,ARK,June 2021,FY22,1.36
CAM,ARK,June 2021,FY22,0.0
Aggregator commission,ARK,June 2021,FY22,3.76
Marketing & advertisement,ARK,June 2021,FY22,0.74
Interest cost,ARK,June 2021,FY22,
Gross Sales,SIG,June 2021,FY22,10.63
GST,SIG,June 2021,FY22,0.51
Net Sales,SIG,June 2021,FY22,10.12
COGS (food +packaging),SIG,June 2021,FY22,3.43
store Labor Cost,SIG,June 2021,FY22,1.71
Utility Cost,SIG,June 2021,FY22,0.75
Rent,SIG,June 2021,FY22,0.86
CAM,SIG,June 2021,FY22,0.09
Aggregator commission,SIG,June 2021,FY22,2.02
Marketing & advertisement,SIG,June 2021,FY22,0.73
Interest cost,SIG,June 2021,FY22,
Gross Sales,HSR,June 2021,FY22,22.44
GST,HSR,June 2021,FY22,1.07
Net Sales,HSR,June 2021,FY22,21.37
COGS (food +packaging),HSR,June 2021,FY22,7.67
store Labor Cost,HSR,June 2021,FY22,1.97
Utility Cost,HSR,June 2021,FY22,1.19
Rent,HSR,June 2021,FY22,1.71
CAM,HSR,June 2021,FY22,0.0
Aggregator commission,HSR,June 2021,FY22,4.54
Marketing & advertisement,HSR,June 2021,FY22,0.56
Interest cost,HSR,June 2021,FY22,
Gross Sales,CVR,June 2021,FY22,
GST,CVR,June 2021,FY22,0.0
Net Sales,CVR,June 2021,FY22,0.0
COGS (food +packaging),CVR,June 2021,FY22,1.16
store Labor Cost,CVR,June 2021,FY22,0.0
Utility Cost,CVR,June 2021,FY22,0.0
Rent,CVR,June 2021,FY22,0.0
CAM,CVR,June 2021,FY22,
Aggregator commission,CVR,June 2021,FY22,
Marketing & advertisement,CVR,June 2021,FY22,
Interest cost,CVR,June 2021,FY22,
Gross Sales,SJP,June 2021,FY22,25.83
GST,SJP,June 2021,FY22,1.23
Net Sales,SJP,June 2021,FY22,24.6
COGS (food +packaging),SJP,June 2021,FY22,8.3
store Labor Cost,SJP,June 2021,FY22,2.25
Utility Cost,SJP,June 2021,FY22,1.12
Rent,SJP,June 2021,FY22,1.48
CAM,SJP,June 2021,FY22,0.0
Aggregator commission,SJP,June 2021,FY22,5.19
Marketing & advertisement,SJP,June 2021,FY22,0.72
Interest cost,SJP,June 2021,FY22,
Gross Sales,ORW,June 2021,FY22,11.66
GST,ORW,June 2021,FY22,0.56
Net Sales,ORW,June 2021,FY22,11.1
COGS (food +packaging),ORW,June 2021,FY22,3.46
store Labor Cost,ORW,June 2021,FY22,1.47
Utility Cost,ORW,June 2021,FY22,1.01
Rent,ORW,June 2021,FY22,0.85
CAM,ORW,June 2021,FY22,0.31
Aggregator commission,ORW,June 2021,FY22,2.53
Marketing & advertisement,ORW,June 2021,FY22,0.45
Interest cost,ORW,June 2021,FY22,
Gross Sales,EST,June 2021,FY22,13.95
GST,EST,June 2021,FY22,0.66
Net Sales,EST,June 2021,FY22,13.28
COGS (food +packaging),EST,June 2021,FY22,4.13
store Labor Cost,EST,June 2021,FY22,1.5
Utility Cost,EST,June 2021,FY22,0.96
Rent,EST,June 2021,FY22,0.71
CAM,EST,June 2021,FY22,0.16
Aggregator commission,EST,June 2021,FY22,3.04
Marketing & advertisement,EST,June 2021,FY22,0.52
Interest cost,EST,June 2021,FY22,
Gross Sales,ORE,June 2021,FY22,4.26
GST,ORE,June 2021,FY22,0.2
Net Sales,ORE,June 2021,FY22,4.05
COGS (food +packaging),ORE,June 2021,FY22,1.35
store Labor Cost,ORE,June 2021,FY22,0.36
Utility Cost,ORE,June 2021,FY22,0.39
Rent,ORE,June 2021,FY22,0.48
CAM,ORE,June 2021,FY22,0.28
Aggregator commission,ORE,June 2021,FY22,0.99
Marketing & advertisement,ORE,June 2021,FY22,0.4
Interest cost,ORE,June 2021,FY22,
Gross Sales,AUR,June 2021,FY22,
GST,AUR,June 2021,FY22,0.0
Net Sales,AUR,June 2021,FY22,0.0
COGS (food +packaging),AUR,June 2021,FY22,0.0
store Labor Cost,AUR,June 2021,FY22,0.0
Utility Cost,AUR,June 2021,FY22,0.0
Rent,AUR,June 2021,FY22,
CAM,AUR,June 2021,FY22,
Aggregator commission,AUR,June 2021,FY22,
Marketing & advertisement,AUR,June 2021,FY22,
Interest cost,AUR,June 2021,FY22,
Gross Sales,JPN,June 2021,FY22,23.89
GST,JPN,June 2021,FY22,1.14
Net Sales,JPN,June 2021,FY22,22.76
COGS (food +packaging),JPN,June 2021,FY22,7.66
store Labor Cost,JPN,June 2021,FY22,2.23
Utility Cost,JPN,June 2021,FY22,1.17
Rent,JPN,June 2021,FY22,1.48
CAM,JPN,June 2021,FY22,0.0
Aggregator commission,JPN,June 2021,FY22,4.66
Marketing & advertisement,JPN,June 2021,FY22,0.93
Interest cost,JPN,June 2021,FY22,
Gross Sales,JPC,June 2021,FY22,
GST,JPC,June 2021,FY22,0.0
Net Sales,JPC,June 2021,FY22,0.0
COGS (food +packaging),JPC,June 2021,FY22,0.0
store Labor Cost,JPC,June 2021,FY22,0.0
Utility Cost,JPC,June 2021,FY22,0.0
Rent,JPC,June 2021,FY22,
CAM,JPC,June 2021,FY22,
Aggregator commission,JPC,June 2021,FY22,
Marketing & advertisement,JPC,June 2021,FY22,
Interest cost,JPC,June 2021,FY22,
Gross Sales,PTP,June 2021,FY22,
GST,PTP,June 2021,FY22,0.0
Net Sales,PTP,June 2021,FY22,0.0
COGS (food +packaging),PTP,June 2021,FY22,0.0
store Labor Cost,PTP,June 2021,FY22,0.0
Utility Cost,PTP,June 2021,FY22,0.07
Rent,PTP,June 2021,FY22,
CAM,PTP,June 2021,FY22,0.0
Aggregator commission,PTP,June 2021,FY22,
Marketing & advertisement,PTP,June 2021,FY22,
Interest cost,PTP,June 2021,FY22,
Gross Sales,SEC,June 2021,FY22,
GST,SEC,June 2021,FY22,0.0
Net Sales,SEC,June 2021,FY22,0.0
COGS (food +packaging),SEC,June 2021,FY22,0.0
store Labor Cost,SEC,June 2021,FY22,0.0
Utility Cost,SEC,June 2021,FY22,0.05
Rent,SEC,June 2021,FY22,0.27
CAM,SEC,June 2021,FY22,0.03
Aggregator commission,SEC,June 2021,FY22,
Marketing & advertisement,SEC,June 2021,FY22,
Interest cost,SEC,June 2021,FY22,
Gross Sales,SYH,June 2021,FY22,19.41
GST,SYH,June 2021,FY22,0.92
Net Sales,SYH,June 2021,FY22,18.49
COGS (food +packaging),SYH,June 2021,FY22,7.03
store Labor Cost,SYH,June 2021,FY22,1.61
Utility Cost,SYH,June 2021,FY22,0.8
Rent,SYH,June 2021,FY22,0.21
CAM,SYH,June 2021,FY22,0.0
Aggregator commission,SYH,June 2021,FY22,4.2
Marketing & advertisement,SYH,June 2021,FY22,1.0
Interest cost,SYH,June 2021,FY22,
Gross Sales,ETF,June 2021,FY22,
GST,ETF,June 2021,FY22,0.0
Net Sales,ETF,June 2021,FY22,0.0
COGS (food +packaging),ETF,June 2021,FY22,0.0
store Labor Cost,ETF,June 2021,FY22,0.0
Utility Cost,ETF,June 2021,FY22,0.08
Rent,ETF,June 2021,FY22,
CAM,ETF,June 2021,FY22,0.0
Aggregator commission,ETF,June 2021,FY22,
Marketing & advertisement,ETF,June 2021,FY22,
Interest cost,ETF,June 2021,FY22,
Gross Sales,GSC,June 2021,FY22,
GST,GSC,June 2021,FY22,0.0
Net Sales,GSC,June 2021,FY22,0.0
COGS (food +packaging),GSC,June 2021,FY22,0.0
store Labor Cost,GSC,June 2021,FY22,0.24
Utility Cost,GSC,June 2021,FY22,0.0
Rent,GSC,June 2021,FY22,
CAM,GSC,June 2021,FY22,
Aggregator commission,GSC,June 2021,FY22,
Marketing & advertisement,GSC,June 2021,FY22,
Interest cost,GSC,June 2021,FY22,
Gross Sales,PRI,June 2021,FY22,
GST,PRI,June 2021,FY22,0.0
Net Sales,PRI,June 2021,FY22,0.0
COGS (food +packaging),PRI,June 2021,FY22,0.0
store Labor Cost,PRI,June 2021,FY22,0.01
Utility Cost,PRI,June 2021,FY22,0.01
Rent,PRI,June 2021,FY22,
CAM,PRI,June 2021,FY22,0.19
Aggregator commission,PRI,June 2021,FY22,
Marketing & advertisement,PRI,June 2021,FY22,
Interest cost,PRI,June 2021,FY22,
Gross Sales,ECN,June 2021,FY22,
GST,ECN,June 2021,FY22,0.0
Net Sales,ECN,June 2021,FY22,0.0
COGS (food +packaging),ECN,June 2021,FY22,0.0
store Labor Cost,ECN,June 2021,FY22,0.0
Utility Cost,ECN,June 2021,FY22,0.14
Rent,ECN,June 2021,FY22,
CAM,ECN,June 2021,FY22,0.19
Aggregator commission,ECN,June 2021,FY22,
Marketing & advertisement,ECN,June 2021,FY22,
Interest cost,ECN,June 2021,FY22,
Gross Sales,RGA,June 2021,FY22,
GST,RGA,June 2021,FY22,0.0
Net Sales,RGA,June 2021,FY22,0.0
COGS (food +packaging),RGA,June 2021,FY22,0.0
store Labor Cost,RGA,June 2021,FY22,0.0
Utility Cost,RGA,June 2021,FY22,0.1
Rent,RGA,June 2021,FY22,0.0
CAM,RGA,June 2021,FY22,0.24
Aggregator commission,RGA,June 2021,FY22,
Marketing & advertisement,RGA,June 2021,FY22,
Interest cost,RGA,June 2021,FY22,
Gross Sales,MIL,June 2021,FY22,
GST,MIL,June 2021,FY22,0.0
Net Sales,MIL,June 2021,FY22,0.0
COGS (food +packaging),MIL,June 2021,FY22,0.0
store Labor Cost,MIL,June 2021,FY22,0.0
Utility Cost,MIL,June 2021,FY22,0.0
Rent,MIL,June 2021,FY22,
CAM,MIL,June 2021,FY22,
Aggregator commission,MIL,June 2021,FY22,
Marketing & advertisement,MIL,June 2021,FY22,
Interest cost,MIL,June 2021,FY22,
Gross Sales,CTS,June 2021,FY22,0.0
GST,CTS,June 2021,FY22,0.0
Net Sales,CTS,June 2021,FY22,0.0
COGS (food +packaging),CTS,June 2021,FY22,0.0
store Labor Cost,CTS,June 2021,FY22,0.0
Utility Cost,CTS,June 2021,FY22,0.1
Rent,CTS,June 2021,FY22,
CAM,CTS,June 2021,FY22,
Aggregator commission,CTS,June 2021,FY22,
Marketing & advertisement,CTS,June 2021,FY22,
Interest cost,CTS,June 2021,FY22,
Gross Sales,VBP,June 2021,FY22,19.39
GST,VBP,June 2021,FY22,0.92
Net Sales,VBP,June 2021,FY22,18.47
COGS (food +packaging),VBP,June 2021,FY22,7.23
store Labor Cost,VBP,June 2021,FY22,1.14
Utility Cost,VBP,June 2021,FY22,0.91
Rent,VBP,June 2021,FY22,1.36
CAM,VBP,June 2021,FY22,0.41
Aggregator commission,VBP,June 2021,FY22,3.22
Marketing & advertisement,VBP,June 2021,FY22,0.6
Interest cost,VBP,June 2021,FY22,
Gross Sales,IHY,June 2021,FY22,18.75
GST,IHY,June 2021,FY22,0.89
Net Sales,IHY,June 2021,FY22,17.85
COGS (food +packaging),IHY,June 2021,FY22,5.69
store Labor Cost,IHY,June 2021,FY22,1.63
Utility Cost,IHY,June 2021,FY22,0.66
Rent,IHY,June 2021,FY22,3.16
CAM,IHY,June 2021,FY22,0.25
Aggregator commission,IHY,June 2021,FY22,2.59
Marketing & advertisement,IHY,June 2021,FY22,0.68
Interest cost,IHY,June 2021,FY22,
Gross Sales,DCH,June 2021,FY22,
GST,DCH,June 2021,FY22,0.0
Net Sales,DCH,June 2021,FY22,0.0
COGS (food +packaging),DCH,June 2021,FY22,0.4
store Labor Cost,DCH,June 2021,FY22,0.0
Utility Cost,DCH,June 2021,FY22,0.0
Rent,DCH,June 2021,FY22,
CAM,DCH,June 2021,FY22,
Aggregator commission,DCH,June 2021,FY22,
Marketing & advertisement,DCH,June 2021,FY22,
Interest cost,DCH,June 2021,FY22,
Gross Sales,HAA,June 2021,FY22,6.45
GST,HAA,June 2021,FY22,0.31
Net Sales,HAA,June 2021,FY22,6.14
COGS (food +packaging),HAA,June 2021,FY22,2.06
