Metric,Store,Month-Year,FY,Amount (in lakhs)
Marketing & advertisement,GSC,April 2021,FY22,
Gross Sales,PRI,April 2021,FY22,
GST,PRI,April 2021,FY22,0.0
Net Sales,PRI,April 2021,FY22,0.0
COGS (food +packaging),PRI,April 2021,FY22,0.0
store Labor Cost,PRI,April 2021,FY22,0.0
Utility Cost,PRI,April 2021,FY22,0.01
Rent,PRI,April 2021,FY22,
CAM,PRI,April 2021,FY22,0.19
Aggregator commission,PRI,April 2021,FY22,
Marketing & advertisement,PRI,April 2021,FY22,
Gross Sales,ECN,April 2021,FY22,
GST,ECN,April 2021,FY22,0.0
Net Sales,ECN,April 2021,FY22,0.0
COGS (food +packaging),ECN,April 2021,FY22,0.0
store Labor Cost,ECN,April 2021,FY22,0.0
Utility Cost,ECN,April 2021,FY22,0.12
Rent,ECN,April 2021,FY22,
CAM,ECN,April 2021,FY22,
Aggregator commission,ECN,April 2021,FY22,
Marketing & advertisement,ECN,April 2021,FY22,
Gross Sales,RGA,April 2021,FY22,
GST,RGA,April 2021,FY22,0.0
Net Sales,RGA,April 2021,FY22,0.0
COGS (food +packaging),RGA,April 2021,FY22,0.0
store Labor Cost,RGA,April 2021,FY22,0.0
Utility Cost,RGA,April 2021,FY22,0.1
Rent,RGA,April 2021,FY22,0.0
CAM,RGA,April 2021,FY22,0.24
Aggregator commission,RGA,April 2021,FY22,
Marketing & advertisement,RGA,April 2021,FY22,
Gross Sales,MIL,April 2021,FY22,
GST,MIL,April 2021,FY22,0.0
Net Sales,MIL,April 2021,FY22,0.0
COGS (food +packaging),MIL,April 2021,FY22,0.0
store Labor Cost,MIL,April 2021,FY22,0.0
Utility Cost,MIL,April 2021,FY22,0.0
Rent,MIL,April 2021,FY22,
CAM,MIL,April 2021,FY22,
Aggregator commission,MIL,April 2021,FY22,
Marketing & advertisement,MIL,April 2021,FY22,
Gross Sales,CTS,April 2021,FY22,0.0
GST,CTS,April 2021,FY22,0.0
Net Sales,CTS,April 2021,FY22,0.0
COGS (food +packaging),CTS,April 2021,FY22,0.0
store Labor Cost,CTS,April 2021,FY22,0.0
Utility Cost,CTS,April 2021,FY22,0.1
Rent,CTS,April 2021,FY22,
CAM,CTS,April 2021,FY22,
Aggregator commission,CTS,April 2021,FY22,
Marketing & advertisement,CTS,April 2021,FY22,
Gross Sales,VBP,April 2021,FY22,14.31
GST,VBP,April 2021,FY22,0.68
Net Sales,VBP,April 2021,FY22,13.63
COGS (food +packaging),VBP,April 2021,FY22,5.38
store Labor Cost,VBP,April 2021,FY22,2.11
Utility Cost,VBP,April 2021,FY22,0.78
Rent,VBP,April 2021,FY22,1.36
CAM,VBP,April 2021,FY22,0.41
Aggregator commission,VBP,April 2021,FY22,2.27
Marketing & advertisement,VBP,April 2021,FY22,0.62
Gross Sales,SKC,April 2021,FY22,7.31
GST,SKC,April 2021,FY22,0.35
Net Sales,SKC,April 2021,FY22,6.97
COGS (food +packaging),SKC,April 2021,FY22,3.36
store Labor Cost,SKC,April 2021,FY22,1.95
Utility Cost,SKC,April 2021,FY22,0.76
Rent,SKC,April 2021,FY22,0.22
CAM,SKC,April 2021,FY22,
Aggregator commission,SKC,April 2021,FY22,1.39
Marketing & advertisement,SKC,April 2021,FY22,0.37
Gross Sales,IHY,April 2021,FY22,13.91
GST,IHY,April 2021,FY22,0.66
Net Sales,IHY,April 2021,FY22,13.25
COGS (food +packaging),IHY,April 2021,FY22,5.05
store Labor Cost,IHY,April 2021,FY22,2.12
Utility Cost,IHY,April 2021,FY22,0.68
Rent,IHY,April 2021,FY22,1.77
CAM,IHY,April 2021,FY22,0.34
Aggregator commission,IHY,April 2021,FY22,1.96
Marketing & advertisement,IHY,April 2021,FY22,0.26
Gross Sales,DCH,April 2021,FY22,
GST,DCH,April 2021,FY22,0.0
Net Sales,DCH,April 2021,FY22,0.0
COGS (food +packaging),DCH,April 2021,FY22,0.0
store Labor Cost,DCH,April 2021,FY22,0.0
Utility Cost,DCH,April 2021,FY22,0.0
Rent,DCH,April 2021,FY22,
CAM,DCH,April 2021,FY22,
Aggregator commission,DCH,April 2021,FY22,
Marketing & advertisement,DCH,April 2021,FY22,
Gross Sales,HAA,April 2021,FY22,6.57
GST,HAA,April 2021,FY22,0.31
Net Sales,HAA,April 2021,FY22,6.26
